productkey,product,category,subcategory
359,"Mountain-200 Black, 38",Bikes,Mountain Bikes
360,"Mountain-200 Black, 42",Bikes,Mountain Bikes
361,"Mountain-200 Black, 42",Bikes,Mountain Bikes
362,"Mountain-200 Black, 46",Bikes,Mountain Bikes
363,"Mountain-200 Black, 46",Bikes,Mountain Bikes
364,"Mountain-300 Black, 38",Bikes,Mountain Bikes
365,"Mountain-300 Black, 40",Bikes,Mountain Bikes
366,"Mountain-300 Black, 44",Bikes,Mountain Bikes
367,"Mountain-300 Black, 48",Bikes,Mountain Bikes
598,"Mountain-500 Black, 44",Bikes,Mountain Bikes
597,"Mountain-500 Black, 42",Bikes,Mountain Bikes
596,"Mountain-500 Black, 40",Bikes,Mountain Bikes
595,"Mountain-500 Silver, 52",Bikes,Mountain Bikes
594,"Mountain-500 Silver, 48",Bikes,Mountain Bikes
593,"Mountain-500 Silver, 44",Bikes,Mountain Bikes
592,"Mountain-500 Silver, 42",Bikes,Mountain Bikes
591,"Mountain-500 Silver, 40",Bikes,Mountain Bikes
590,"Mountain-400-W Silver, 46",Bikes,Mountain Bikes
589,"Mountain-400-W Silver, 42",Bikes,Mountain Bikes
588,"Mountain-400-W Silver, 40",Bikes,Mountain Bikes
587,"Mountain-400-W Silver, 38",Bikes,Mountain Bikes
347,"Mountain-100 Silver, 48",Bikes,Mountain Bikes
348,"Mountain-100 Black, 38",Bikes,Mountain Bikes
344,"Mountain-100 Silver, 38",Bikes,Mountain Bikes
345,"Mountain-100 Silver, 42",Bikes,Mountain Bikes
346,"Mountain-100 Silver, 44",Bikes,Mountain Bikes
600,"Mountain-500 Black, 52",Bikes,Mountain Bikes
599,"Mountain-500 Black, 48",Bikes,Mountain Bikes
349,"Mountain-100 Black, 42",Bikes,Mountain Bikes
350,"Mountain-100 Black, 44",Bikes,Mountain Bikes
351,"Mountain-100 Black, 48",Bikes,Mountain Bikes
352,"Mountain-200 Silver, 38",Bikes,Mountain Bikes
353,"Mountain-200 Silver, 38",Bikes,Mountain Bikes
354,"Mountain-200 Silver, 42",Bikes,Mountain Bikes
355,"Mountain-200 Silver, 42",Bikes,Mountain Bikes
356,"Mountain-200 Silver, 46",Bikes,Mountain Bikes
357,"Mountain-200 Silver, 46",Bikes,Mountain Bikes
358,"Mountain-200 Black, 38",Bikes,Mountain Bikes
310,"Road-150 Red, 62",Bikes,Road Bikes
606,"Road-750 Black, 52",Bikes,Road Bikes
605,"Road-750 Black, 48",Bikes,Road Bikes
604,"Road-750 Black, 44",Bikes,Road Bikes
584,"Road-750 Black, 58",Bikes,Road Bikes
583,"Road-350-W Yellow, 48",Bikes,Road Bikes
582,"Road-350-W Yellow, 44",Bikes,Road Bikes
581,"Road-350-W Yellow, 42",Bikes,Road Bikes
580,"Road-350-W Yellow, 40",Bikes,Road Bikes
387,"Road-550-W Yellow, 44",Bikes,Road Bikes
386,"Road-550-W Yellow, 42",Bikes,Road Bikes
385,"Road-550-W Yellow, 42",Bikes,Road Bikes
384,"Road-550-W Yellow, 40",Bikes,Road Bikes
383,"Road-550-W Yellow, 40",Bikes,Road Bikes
382,"Road-550-W Yellow, 38",Bikes,Road Bikes
