productkey,customerkey,promotionkey,currencykey,salesordernumber,totalproductcost,salesamount,orderdate,duedate,shipdate
381,16942,1,100,SO46700,? 605.65,1000.44,01-01-2021,13-01-2021,08-01-2021
375,15114,1,100,SO46701,"? 1,320.68",2181.56,01-01-2021,13-01-2021,08-01-2021
369,15116,2,100,SO46702,"? 1,518.79",2443.35,01-01-2021,13-01-2021,08-01-2021
337,20576,1,98,SO46703,? 486.71,782.99,01-01-2021,13-01-2021,08-01-2021
370,13059,1,100,SO46704,"? 1,518.79",2443.35,01-01-2021,13-01-2021,08-01-2021
370,13085,1,100,SO46705,"? 1,518.79",2443.35,01-01-2021,13-01-2021,08-01-2021
352,20186,1,19,SO46706,"? 1,117.86",2071.42,01-01-2021,13-01-2021,08-01-2021
337,15199,1,100,SO46707,? 486.71,782.99,01-01-2021,13-01-2021,08-01-2021
377,21200,1,6,SO46708,"? 1,320.68",2181.56,01-01-2021,13-01-2021,08-01-2021
387,19172,1,98,SO46709,? 605.65,1000.44,02-01-2021,14-01-2021,09-01-2021
356,11484,1,100,SO46710,"? 1,117.86",2071.42,02-01-2021,14-01-2021,09-01-2021
369,13592,2,100,SO46711,"? 1,518.79",2443.35,02-01-2021,14-01-2021,09-01-2021
373,13779,1,100,SO46712,"? 1,320.68",2181.56,02-01-2021,14-01-2021,09-01-2021
371,24778,1,19,SO46713,"? 1,320.68",2181.56,02-01-2021,14-01-2021,09-01-2021
368,13093,1,100,SO46714,"? 1,518.79",2443.35,02-01-2021,14-01-2021,09-01-2021
375,24976,1,19,SO46715,"? 1,320.68",2181.56,02-01-2021,14-01-2021,09-01-2021
375,25046,1,19,SO46716,"? 1,320.68",2181.56,02-01-2021,14-01-2021,09-01-2021
368,25048,1,19,SO46717,"? 1,518.79",2443.35,02-01-2021,14-01-2021,09-01-2021
360,12570,1,6,SO46718,"? 1,105.81",2049.10,02-01-2021,14-01-2021,09-01-2021
362,11604,2,98,SO46719,"? 1,105.81",2049.10,03-01-2021,15-01-2021,10-01-2021
371,13667,1,100,SO46720,"? 1,320.68",2181.56,03-01-2021,15-01-2021,10-01-2021
370,16046,1,98,SO46721,"? 1,518.79",2443.35,03-01-2021,15-01-2021,10-01-2021
385,17095,1,100,SO46722,? 605.65,1000.44,03-01-2021,15-01-2021,10-01-2021
368,12918,1,100,SO46723,"? 1,518.79",2443.35,03-01-2021,15-01-2021,10-01-2021
368,28663,1,100,SO46724,"? 1,518.79",2443.35,03-01-2021,15-01-2021,10-01-2021
369,21191,2,6,SO46725,"? 1,518.79",2443.35,03-01-2021,15-01-2021,10-01-2021
373,20999,1,6,SO46726,"? 1,320.68",2181.56,03-01-2021,15-01-2021,10-01-2021
370,21002,1,6,SO46727,"? 1,518.79",2443.35,03-01-2021,15-01-2021,10-01-2021
358,12354,1,6,SO46728,"? 1,105.81",2049.10,03-01-2021,15-01-2021,10-01-2021
321,26019,1,6,SO46729,? 486.71,782.99,03-01-2021,15-01-2021,10-01-2021
379,15100,1,100,SO46730,"? 1,320.68",2181.56,04-01-2021,16-01-2021,11-01-2021
371,15101,1,100,SO46731,"? 1,320.68",2181.56,04-01-2021,16-01-2021,11-01-2021
385,13992,1,100,SO46732,? 605.65,1000.44,04-01-2021,16-01-2021,11-01-2021
375,24781,1,19,SO46733,"? 1,320.68",2181.56,04-01-2021,16-01-2021,11-01-2021
375,13060,1,100,SO46734,"? 1,320.68",2181.56,04-01-2021,16-01-2021,11-01-2021
371,13226,1,100,SO46735,"? 1,320.68",2181.56,04-01-2021,16-01-2021,11-01-2021
360,12341,1,6,SO46736,"? 1,105.81",2049.10,04-01-2021,16-01-2021,11-01-2021
354,12346,1,6,SO46737,"? 1,117.86",2071.42,04-01-2021,16-01-2021,11-01-2021
362,12576,2,6,SO46738,"? 1,105.81",2049.10,04-01-2021,16-01-2021,11-01-2021
373,15699,1,98,SO46739,"? 1,320.68",2181.56,05-01-2021,17-01-2021,12-01-2021
379,12980,1,100,SO46740,"? 1,320.68",2181.56,05-01-2021,17-01-2021,12-01-2021
370,28766,1,100,SO46741,"? 1,518.79",2443.35,05-01-2021,17-01-2021,12-01-2021
358,20206,1,19,SO46742,"? 1,105.81",2049.10,05-01-2021,17-01-2021,12-01-2021
373,21183,1,6,SO46743,"? 1,320.68",2181.56,05-01-2021,17-01-2021,12-01-2021
370,21199,1,6,SO46744,"? 1,518.79",2443.35,05-01-2021,17-01-2021,12-01-2021
369,13056,2,100,SO46745,"? 1,518.79",2443.35,06-01-2021,18-01-2021,13-01-2021
368,13057,1,100,SO46746,"? 1,518.79",2443.35,06-01-2021,18-01-2021,13-01-2021
